,Jogador,Campeonato,Rodada,Data,Mandante,Oponente,Posição,Minuto,Tipo,Assistido por
261,Ronaldo,LaLiga,Group Stage,2012-04-14,H,Sporting Gijón  ,LW,74,Header,Ángel Di María
262,Ronaldo,LaLiga,Group Stage,2012-04-21,A,FC Barcelona  ,LW,73,Right-footed shot,Mesut Özil
263,Ronaldo,Champions League,Semi-Finals,2012-04-25,H,Bayern Munich ,LW,6,Penalty,
265,Ronaldo,LaLiga,Group Stage,2012-04-29,H,Sevilla FC  ,LW,19,Right-footed shot,Karim Benzema
266,Ronaldo,LaLiga,Group Stage,2012-05-02,A,Athletic  ,LW,49,Header,Xabi Alonso
267,Ronaldo,LaLiga,Group Stage,2012-05-05,A,Granada CF  ,LW,81,Penalty,
268,Ronaldo,LaLiga,Group Stage,2012-05-13,H,RCD Mallorca  ,LW,18,Header,Marcelo
269,Ronaldo,Supercopa,Final,2012-08-23,A,FC Barcelona,LW,55,Header,Mesut Özil
270,Ronaldo,Supercopa,Final,2012-08-29,H,FC Barcelona,LW,19,Right-footed shot,Sami Khedira
271,Ronaldo,LaLiga,Group Stage,2012-09-02,H,Granada CF  ,LW,25,Right-footed shot,José Callejón
273,Ronaldo,Champions League,Group Stage,2012-09-18,H,Man City,LW,90,Right-footed shot,Marcelo
274,Ronaldo,LaLiga,Group Stage,2012-09-24,A,Rayo Vallecano  ,LW,69,Penalty,
275,Ronaldo,LaLiga,Group Stage,2012-09-30,H,Dep. La Coruña  ,LW,23,Penalty,
278,Ronaldo,Champions League,Group Stage,2012-10-03,A,Ajax,LW,42,Right-footed shot,Karim Benzema
281,Ronaldo,LaLiga,Group Stage,2012-10-07,A,FC Barcelona  ,LW,22,Left-footed shot,Karim Benzema
283,Ronaldo,LaLiga,Group Stage,2012-10-20,H,Celta de Vigo  ,LW,67,Penalty,
284,Ronaldo,Champions League,Group Stage,2012-10-24,A,Bor. Dortmund,LW,38,Right-footed shot,Mesut Özil
285,Ronaldo,LaLiga,Group Stage,2012-10-28,A,RCD Mallorca  ,LW,22,Right-footed shot,Gonzalo Higuaín
287,Ronaldo,LaLiga,Group Stage,2012-11-11,A,Levante  ,CF,20,Right-footed shot,
